"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2011","1,358.38","1,382.13","1,388.13","1,355.88","-","-1.67%"
"Jan 10, 2011","1,381.38","1,368.63","1,394.38","1,366.25","-","1.28%"
"Jan 07, 2011","1,363.88","1,376.88","1,382.25","1,360.38","-","-0.91%"
"Jan 06, 2011","1,376.38","1,392.38","1,398.63","1,376.38","-","-1.08%"
"Jan 05, 2011","1,391.38","1,372.63","1,394.88","1,362.13","-","1.44%"
"Jan 04, 2011","1,371.63","1,378.63","1,390.38","1,357.75","-","-0.63%"
"Jan 03, 2011","1,380.38","1,395.75","1,408.63","1,380.38","-","-1.67%"
"Dec 31, 2010","1,403.88","1,377.38","1,403.88","1,376.38","-","1.74%"
"Dec 30, 2010","1,379.88","1,375.38","1,384.63","1,370.13","-","0.22%"
"Dec 29, 2010","1,376.88","1,386.13","1,388.88","1,374.88","-","-0.65%"
"Dec 28, 2010","1,385.88","1,385.13","1,396.63","1,383.38","-","0.10%"
"Dec 27, 2010","1,384.50","1,353.63","1,389.38","1,350.25","-","1.69%"
"Dec 24, 2010","1,361.50","1,361.50","1,361.50","1,361.50","-","0.06%"
"Dec 23, 2010","1,360.63","1,340.63","1,365.63","1,338.88","-","1.61%"
"Dec 22, 2010","1,339.13","1,336.38","1,343.63","1,328.75","-","0.15%"
"Dec 21, 2010","1,337.13","1,326.75","1,339.25","1,323.13","-","0.73%"
"Dec 20, 2010","1,327.38","1,324.50","1,329.50","1,307.63","-","1.39%"
"Dec 17, 2010","1,309.13","1,300.75","1,311.38","1,295.25","-","0.61%"
"Dec 16, 2010","1,301.13","1,305.50","1,314.75","1,296.13","-","-0.42%"
"Dec 15, 2010","1,306.63","1,294.13","1,314.38","1,291.13","-","0.94%"
"Dec 14, 2010","1,294.50","1,299.50","1,311.13","1,292.63","-","-0.45%"
"Dec 13, 2010","1,300.38","1,269.25","1,304.63","1,259.63","-","2.20%"
"Dec 12, 2010","1,272.38","1,272.38","1,272.38","1,272.38","-","-0.02%"
"Dec 10, 2010","1,272.63","1,283.38","1,288.38","1,268.63","-","-0.62%"
