DATE,ECBASSETSW
2020-01-10,4655772
2020-01-17,4660340
2020-01-24,4674369
2020-01-31,4671365
2020-02-07,4668900
2020-02-14,4679726
2020-02-21,4688301
2020-02-28,4691852.0
2020-03-06,4702214.0
2020-03-13,4704239.0
2020-03-20,4927267.0
2020-03-27,5062687.0
2020-04-03,5199822.0
2020-04-10,5257490.0
2020-04-17,5282926.0
2020-04-24,5347042.0
2020-05-01,5395184.0
2020-05-08,5451001.0
2020-05-15,5505521.0
2020-05-22,5555276.0
2020-05-29,5596070.0
2020-06-05,5655414.0
2020-06-12,5630275.0
2020-06-19,5636378.0
2020-06-26,6236143.0
2020-07-03,6288974.0
2020-07-10,6309160.0
2020-07-17,6322604.0
2020-07-24,6351419.0
2020-07-31,6360822.0
2020-08-07,6385307.0
2020-08-14,6404662.0
2020-08-21,6424042.0
2020-08-28,6440237.0
2020-09-04,6458857.0
2020-09-11,6474612.0
2020-09-18,6502422.0
2020-09-25,6534815.0
2020-10-02,6705112.0
2020-10-09,6725697.0
2020-10-16,6743525.0
2020-10-23,6781825.0
2020-10-30,6775763.0
2020-11-06,6796905.0
2020-11-13,6833483.0
2020-11-20,6867814.0
2020-11-27,6883402.0
2020-12-04,6923120.0
2020-12-11,6949632.0
2020-12-18,7008896.0
2020-12-25,7014661.0
2021-01-01,6979324.0
2021-01-08,6984713.0
2021-01-15,7015645.0
2021-01-22,7024240.0
2021-01-29,7033256.0
2021-02-05,7054472.0
2021-02-12,7079135.0
2021-02-19,7101159.0
2021-02-26,7110487.0
2021-03-05,7120334.0
2021-03-12,7137484.0
2021-03-19,7162230.0
2021-03-26,7505021.0
2021-04-02,7494111.0
2021-04-09,7514267.0
2021-04-16,7522199.0
2021-04-23,7558280.0
2021-04-30,7567945.0
2021-05-07,7588768.0
2021-05-14,7615694.0
2021-05-21,7643170.0
2021-05-28,7657629.0
2021-06-04,7680137.0
2021-06-11,7700937.0
2021-06-18,7736536.0
2021-06-25,7877127.0
2021-07-02,7907807.0
2021-07-09,7926550.0
2021-07-16,7950657.0
2021-07-23,7988045.0
2021-07-30,7987364.0
2021-08-06,8009676.0
2021-08-13,8036014.0
2021-08-20,8052776.0
2021-08-27,8191312.0
2021-09-03,8207534.0
2021-09-10,8222733.0
2021-09-17,8244572.0
2021-09-24,8273207.0
2021-10-01,8289148.0
2021-10-08,8314285.0
2021-10-15,8336713.0
2021-10-22,8368278.0
2021-10-29,8366071.0
2021-11-05,8382672.0
2021-11-12,8414393.0
2021-11-19,8442311.0
2021-11-26,8456991.0
2021-12-03,8469908.0
2021-12-10,8496633.0
2021-12-17,8511461.0
2021-12-24,8512308.0
2021-12-31,8566372.0
2022-01-07,8573280.0
2022-01-14,8593991.0
2022-01-21,8600346.0
2022-01-28,8622576.0
2022-02-04,8630101.0
2022-02-11,8651801.0
2022-02-18,8667911.0
2022-02-25,8671293.0
2022-03-04,8672977.0
2022-03-11,8686990.0
2022-03-18,8700036.0
2022-03-25,8710615.0
2022-04-01,8753992.0
2022-04-08,8763720.0
2022-04-15,8787905.0
2022-04-22,8790918.0
2022-04-29,8783589.0
2022-05-06,8796118.0
2022-05-13,8810309.0
2022-05-20,8814019.0
2022-05-27,8813834.0
2022-06-03,8817918.0
2022-06-10,8820944.0
2022-06-17,8827944.0
2022-06-24,8835987.0
2022-07-01,8788761.0
2022-07-08,8774413.0
2022-07-15,8765687.0
