Date;Price;Open;High;Low;Vol.;Percentage_diff;Price_gold;Price_copper;Price_aluminium;Trend;Residuals;EMA_7d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;ADX_PDM;ATR;Linearregression;Linearintercept;STDDEV;Price_SP500;Price_NASDAQ;Price_DJ;Target;y_test_pred
2019-10-23;7477.0;8031.0;8055.0;7329.2;892080.0;-6.9;1491.8;2.736;1730.0;8178.799999999999;-729.6120274278688;7953.158143083635;8181.481547148503;8521.665563968443;7979.460000000028;7437.254436031613;8556.736561765221;482.866769992892;326.56541962439;7839.071428571419;8426.071428571435;271.1027819842077;3004.52;8119.79;26833.95;0.0;1.0
2015-07-11;292.0;283.6;298.8;282.3;46490.0;2.94;1157.9;2.47;1686.75;285.87142857142857;6.0797330387871895;275.5491916370481;257.72315789473686;296.14094859442;275.89999999999947;255.6590514055789;259.43572662159085;55.97731862327527;10.167163495292543;280.9657142857143;250.04857142857136;10.120474297210276;2076.62;4997.7;17760.41;1.0;0.0
2018-12-12;3466.1;3390.2;3510.2;3379.4;391170.0;1.72;1246.1;2.7875;1931.0;3384.8;53.48797257213011;3532.4194500500275;4144.1927534391525;3575.9764487256234;3466.440000000019;3356.903551274415;4205.46969158533;405.67267254462166;281.3197988834333;3288.4400000000014;4223.517142857142;54.76822436280209;2651.07;7098.31;24527.27;0.0;0.0
2017-04-10;1206.7;1204.3;1214.9;1194.8;40010.0;0.2;1252.3;2.7015;1924.75;1198.8142857142857;-4.940836951679232;1175.8290128583897;1079.7663636363636;1213.8318109198883;1194.2000000000005;1174.5681890801125;984.8712878045184;179.37780119450326;55.675811842782245;1220.7485714285704;1033.1228571428578;9.815905459943997;2357.16;5880.93;20658.02;1.0;1.0
2020-01-22;8678.5;8733.0;8805.4;8610.8;509060.0;-0.62;1556.7;2.8235;1811.0;8563.685714285715;87.00225828641516;8679.148486422771;8025.45915084915;8926.023440149007;8735.100000000026;8544.176559851045;8472.938613801072;1193.1004106247974;305.3674726758645;8954.61428571429;8090.471428571424;95.4617200744905;3321.75;9383.77;29186.27;0.0;0.0
2020-05-01;8821.6;8628.6;9040.3;8621.0;1110000.0;2.23;1700.9;2.3925;1487.0;8670.7;166.07348940118936;8241.99499948477;7363.005541795666;9319.357787097348;8346.880000000036;7374.4022129027235;7306.177373256353;2489.7950453635885;419.42063088686734;8576.16;6722.211428571428;486.2388935486563;2830.71;8604.95;23723.69;1.0;0.0
2018-08-15;6256.9;6190.2;6592.8;6177.9;3740000.0;1.08;1178.2;2.7;2025.5;6326.128571428571;-97.04059885644136;6344.701014831073;7289.125033296844;6329.187217015503;6249.400000000018;6169.612782984533;5898.3;839.3454580807172;374.8478365206301;5963.411428571428;7306.045714285715;39.89360850774259;2818.37;7774.12;25162.41;1.0;1.0
2018-10-29;6335.0;6486.1;6498.4;6310.5;160520.0;-2.33;1224.7;2.8365;1979.25;6416.771428571428;-94.59797980882183;6468.599793791782;6542.149958333333;6599.053188357819;6466.46000000002;6333.866811642221;7358.4;544.3418782578243;155.87548165241424;6423.442857142855;6659.514285714287;66.29659417889943;2641.25;7050.29;24442.92;0.0;1.0
2016-01-19;379.5;384.4;386.7;375.9;66350.0;-1.29;1089.1;2.0265;1481.0;391.25714285714287;-12.695870965284524;394.8784344200561;427.19115897435887;390.0098220048965;380.7399999999993;371.4701779951021;448.1951784959999;34.07118642464722;18.2035165183668;378.345714285714;463.4971428571429;4.634911002448616;1881.33;4476.95;16016.02;1.0;0.0
2020-03-04;8757.9;8761.3;8840.3;8679.7;759690.0;-0.04;1643.0;2.6545;1726.0;8863.857142857141;-133.76917028501128;8829.76945581242;9529.841067193676;8983.102795322067;8701.560000000034;8420.017204678;8961.8;735.0106901510579;357.98584582479856;8475.73714285714;9765.605714285715;140.77139766101635;3130.12;9018.09;27090.86;1.0;1.0
