Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;HT_DCPERIOD;HT_DCPHASE;HT_PHASOR_inphase;HT_PHASOR_quadrature;HT_SINE_sine;HT_PHASOR_leadsine;HT_SINE_integer
2021-04-22;51729.5;53821.3;55408.4;50590.9;168130.0;-3.88;0.0;15.777482588906844;286.37868364407814;-2236.2602429828403;-5596.405191994499;-0.9594189506299943;-0.4790184701130925;1
2021-04-23;51143.6;51707.1;52099.9;47659.4;214460.0;-1.13;0.0;15.659612671415474;306.58546842734734;-4358.934230711708;-3898.7898918500277;-0.8029686661803228;-0.1463339268580533;1
2021-04-24;50088.9;51140.8;51183.0;48775.2;82250.0;-2.06;0.0;15.654542974665942;-36.671439443980034;-5338.860241444017;-279.662144991274;-0.5972254070371297;0.1448494376445889;1
2021-04-25;48963.6;50088.2;50532.4;47098.5;59200.0;-2.25;0.0;15.70981807520505;-22.4672529592533;-3940.7169062129315;1574.7733944519352;-0.382155332380635;0.3832114073413438;1
2021-04-26;54020.5;48963.5;54320.9;48815.9;129760.0;10.33;1.0;15.759582890532386;-8.254729165138542;-3452.0257444649424;18.779722273026874;-0.1435743068354497;0.5982584634415041;1
2021-04-27;55036.5;54011.1;55427.8;53345.0;84080.0;1.88;1.0;15.830019176238133;6.53632485120653;-4076.744306227826;-110.59903585757858;0.1138331038610529;0.7830026665122649;1
2021-04-28;54841.4;55036.0;56419.9;53876.4;86960.0;-0.35;0.0;16.03061186235584;22.00197187296652;-3996.952090457598;1373.848179980376;0.3746385028529066;0.9205183001830997;1
2021-04-29;53560.8;54838.6;55173.7;52400.0;83900.0;-2.34;0.0;16.45049584769341;35.52768155087891;-3430.1340369782083;2458.6199803102613;0.5810962149758405;0.9863652265692272;1
2021-04-30;57720.3;53562.3;57925.6;53088.7;103740.0;7.77;1.0;16.948992874915543;43.62396486329578;-2735.729586113203;5430.908785895409;0.6899223797043919;0.9997116214776619;1
2021-05-01;57807.1;57719.1;58449.4;57029.5;63410.0;0.15;1.0;17.353844868883947;58.908604344379796;398.75842086279107;7873.9628968267525;0.8563446448927879;0.9706803945928558;1
2021-05-02;56603.8;57807.2;57868.4;56110.5;53610.0;-2.08;0.0;17.77328036977046;67.21527880445973;3400.6338034013006;4712.756853939874;0.9219664558259797;0.9257697948106245;1
2021-05-03;57169.8;56605.8;58925.1;56562.4;89240.0;1.0;1.0;18.42533130879717;83.25062364948234;3681.552910499158;223.84687128049717;0.9930697362597389;0.7853101921595032;1
2021-05-04;53741.5;57170.6;57201.3;53741.5;132330.0;-6.0;0.0;19.056409620252364;90.1798363119679;2577.8093100456645;-965.5643158541856;0.9999950741729632;0.7048838804058334;0
2021-05-05;57441.3;53872.5;57936.4;53872.5;119820.0;6.88;1.0;19.327984532475213;108.90714283257412;2623.9362536960666;508.84772590215624;0.946044970004336;0.4398272129799573;1
2021-05-06;56405.4;57441.0;58364.9;55294.5;109020.0;-1.8;0.0;19.267312772301302;131.38004988760673;3400.021140743838;-1949.326371556255;0.7503412897365536;0.06313802377975408;1
2021-05-07;57337.2;56411.4;58639.3;55300.1;110010.0;1.65;1.0;19.068822381364104;153.98507842073207;1775.2470475583004;-3401.564801502554;0.4386052054720467;-0.32532190136625694;1
2021-05-08;58840.1;57330.3;59471.1;56972.2;101270.0;2.62;1.0;18.847590564308824;172.1846628923674;1031.0119250430355;-3689.0618558059823;0.13598077394870403;-0.6043858756651941;1
