Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;Price_gold;Perc_diff_gold;Price_copper;Perc_diff_copper;Price_aluminium;Perc_diff_aluminium;Trend;Residuals
2015-01-12;269.3;264.8;273.1;263.3;25390.0;1.72;1.0;1373.2;1.16;2.763;-1.0;1804.75;0.03;241.6428571428571;14.830591619749312
2015-01-13;221.3;269.3;269.1;217.1;95500.0;-17.84;0.0;1374.5;0.09;2.679;-3.04;1787.25;-0.97;230.0571428571428;-9.69587096528444
2015-01-14;164.9;221.3;230.9;157.3;170680.0;-25.47;0.0;1364.5;-0.73;2.553;-4.7;1771.5;-0.88;219.51428571428568;-82.4263131421553
2015-01-15;209.8;164.9;231.3;164.6;124670.0;27.2;1.0;1264.8;-7.31;2.611;2.27;1787.0;0.87;211.77142857142857;21.172098155855558
2015-01-16;206.9;209.8;222.6;198.7;62320.0;-1.36;0.0;1276.9;0.96;2.654;1.65;1843.0;3.13;204.1428571428571;17.930632258332615
2015-01-17;199.6;206.9;212.6;191.7;43130.0;-3.51;0.0;1276.9;0.0;2.654;0.0;1843.0;0.0;202.6142857142857;-3.0631241040699493
2015-01-18;210.6;199.6;220.7;192.5;40370.0;5.49;1.0;1276.9;0.0;2.654;0.0;1843.0;0.0;211.65714285714287;2.251986177572391
2015-01-19;215.9;210.6;219.5;205.5;31580.0;2.49;1.0;1276.9;0.0;2.654;0.0;1843.0;0.0;214.9285714285714;-11.855122665964972
2015-01-20;210.6;215.9;216.6;203.4;37480.0;-2.46;0.0;1294.2;1.43;2.615;-1.47;1844.25;1.53;218.54285714285712;-8.88158525099878
2015-01-21;228.2;210.6;229.3;207.1;43180.0;8.37;1.0;1293.7;-0.04;2.615;0.0;1868.0;1.29;225.48571428571427;-25.097741713583893
2015-01-22;232.7;228.2;238.8;225.6;53710.0;1.99;1.0;1300.7;0.54;2.6;-0.57;1865.75;-0.12;231.41428571428568;24.429241012998425
2015-01-23;232.2;232.7;237.0;224.8;38170.0;-0.23;0.0;1292.6;-0.62;2.538;-2.38;1830.0;-1.92;239.0285714285714;8.344917972618298
2015-01-24;248.2;232.2;248.9;229.6;33240.0;6.89;1.0;1292.6;0.0;2.538;0.0;1830.0;0.0;246.55714285714282;1.5940187530729233
2015-01-25;252.1;248.2;256.4;241.4;50190.0;1.58;1.0;1292.6;0.0;2.538;0.0;1830.0;0.0;247.7;7.709129034715275
2015-01-26;269.2;252.1;310.9;251.5;105710.0;6.78;1.0;1279.4;-1.02;2.574;1.42;1878.5;2.65;247.88571428571427;8.487734476892127
2015-01-27;263.3;269.2;276.9;247.3;50260.0;-2.2;0.0;1291.7;0.96;2.514;-2.33;1853.5;-1.33;247.82857142857142;14.53270046328693
2015-01-28;236.2;263.3;267.7;228.1;63770.0;-10.29;0.0;1285.9;-0.45;2.522;0.32;1847.75;-0.31;243.5857142857143;-35.197741713583916
2015-01-29;234.0;236.2;241.5;220.4;54490.0;-0.92;0.0;1255.3;-2.38;2.47;-2.06;1816.5;-1.69;239.75714285714284;17.38638387014128
2015-01-30;231.8;234.0;244.8;227.2;48230.0;-0.92;0.0;1278.9;1.88;2.528;2.35;1862.0;2.5;235.42857142857142;11.544917972618315
2015-01-31;218.5;231.8;235.4;216.5;42150.0;-5.75;0.0;1278.9;0.0;2.528;0.0;1862.0;0.0;230.3;-11.848838389784255
2015-02-01;225.3;218.5;231.4;209.7;41160.0;3.1;1.0;1278.9;0.0;2.528;0.0;1862.0;0.0;228.92857142857142;-0.3194423938561357
2015-02-02;238.9;225.3;242.5;220.5;39020.0;6.02;1.0;1276.5;-0.19;2.511;-0.67;1869.25;0.39;226.42857142857142;-0.3551226659650002
2015-02-03;227.4;238.9;247.5;223.9;63080.0;-4.79;0.0;1260.0;-1.29;2.6;3.54;1886.75;0.94;225.17142857142855;1.2898433204297985
2015-02-04;226.6;227.4;230.7;220.2;55240.0;-0.36;0.0;1264.1;0.33;2.612;0.46;1874.0;-0.68;226.48571428571427;-27.697741713583888
