Date;Price;Open;High;Low;Vol.;Porcentage_diff;Target;ADX;ADX_MDI;ADX_MDM;ADX_DX;ADX_PDI;ADX_PDM;Aroondown;Aroonup;Aroon_Oscillator;MACD;MACDSIGNAL;MACDHIST;MOM;ROC;RSI;STOCHRSI_fastk;STOCHRSI_fastd;ULTOSC;WILLR;ADX_ET;ADXR_ET;MACD_ET;ROC_ET;STOCHRSI_fastk_ET;STOCHRSI_fastd_ET
2022-03-29;47449.0;47126.0;48127.0;47029.0;478820000.0;0.73;1.0;22.896708902838608;12.205708721193478;12.205708721193478;48.84847675793983;35.51802636068629;8772.792968370806;0.0;92.85714285714286;92.85714285714286;1672.850268425129;990.068930910366;682.7813375147629;5216.0;0.12350531574834844;76.87721547561662;100.0;100.00000000000023;64.69239570596683;-8.111791299833435;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2022-03-30;47075.0;47449.0;47714.0;46601.0;467760000.0;-0.79;0.0;24.350311791591388;13.420557571884881;13.420557571884881;43.24714934537753;33.874185924111785;8146.1648992014625;0.0;85.71428571428572;85.71428571428572;1769.4459054525068;1145.9443258187941;623.5015796337127;5799.0;0.14049326485124528;73.35836585434241;71.29014059771336;90.43004686590469;60.68940971400308;-14.113156374777134;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion
2022-03-31;45525.0;47071.0;47624.0;45228.0;520000000.0;-3.29;0.0;24.522924976374572;17.672840823518484;17.672840823518484;26.766896378555927;30.59178254919225;7564.295977829929;7.142857142857143;78.57142857142857;71.42857142857143;1701.3148985029839;1257.018440355632;444.2964581473518;4503.0;0.10977036712008191;60.58790463314495;0.0;57.09671353257136;51.01396628901208;-33.57524924035058;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posición;Vender
2022-04-01;46297.0;45529.0;46728.0;44261.0;632930000.0;1.7;1.0;23.95649611124892;19.761184349968797;19.761184349968797;16.592920864615422;27.623724832363;7023.989122270648;0.0;71.42857142857143;71.42857142857143;1690.1317460667124;1343.641101497848;346.49064456886435;3924.0;0.09260614070280604;64.0511628528863;23.515062652883955;31.60173441686601;56.21928788148073;-24.801147476854872;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posición;Mantener_posición
2022-04-02;45811.0;46299.0;47212.0;45641.0;345930000.0;-1.05;0.0;23.677568365041;18.528373164302536;18.528373164302536;20.051507664338047;27.82240249888715;7006.275613537031;14.285714285714286;64.28571428571429;50.0;1623.3400255418092;1399.5808863066402;223.75913923516896;2899.0;0.067556860551827;60.342196263403544;0.0;7.838354217628222;51.34994015538833;-31.138349198070152;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posición;Mantener_posición
2022-04-03;46407.0;45813.0;47435.0;45554.0;398860000.0;1.3;1.0;23.533691050084933;17.148888528655622;17.148888528655622;21.663285955656036;26.633618148732385;6728.827355427243;7.142857142857143;57.142857142857146;50.0;1600.054888087354;1439.675686662783;160.37920142457097;2394.0;0.05439302024401881;63.24247441914576;24.201654372355616;15.905572341746762;45.791476844287004;-23.36680140826705;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posición;Mantener_posición
2022-04-04;46629.0;46407.0;46899.0;45152.0;446120000.0;0.48;1.0;23.072780823939603;17.55516329331016;17.55516329331016;17.080947884050303;24.787731000179665;6248.196830039583;0.0;50.0;50.0;1581.2867047473992;1467.997890279706;113.2888144676931;2298.0;0.05183731474588888;64.32234449207809;100.0;41.40055145745211;51.221341423641334;-21.489186969614014;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Comprar;Mantener_posición
2022-04-05;45506.0;46614.0;47201.0;45388.0;421110000.0;-2.41;0.0;22.819932007180558;16.2931346647769;16.2931346647769;19.53289738931295;24.20325239567373;6103.897056465327;0.0;42.85714285714286;42.85714285714286;1458.977880708997;1466.1938883655644;-7.216007656567399;958.0;0.021504893597916852;55.20644926398707;0.0;41.40055145745211;46.91842935103594;-42.05184259837601;Mantener_posicion;Mantener_posición;Vender;Mantener_posicion;Vender;Mantener_posición
2022-04-06;43173.0;45494.0;45519.0;43122.0;649520000.0;-5.13;0.0;21.441385685015955;23.558126085325462;23.558126085325462;3.5202834968761114;21.955903222827207;5667.904409574947;0.0;35.714285714285715;35.714285714285715;1160.4170883061597;1405.0385283536834;-244.62144004752372;-3686.0;-0.07866151646428647;41.598147693589155;0.0;33.33333333333357;40.38936598381118;-90.70564879985562;Vender;Mantener_posición;Mantener_posicion;Vender;Mantener_posición;Mantener_posición
2022-04-07;43448.0;43166.0;43893.0;42747.0;390850000.0;0.64;1.0;20.39030452087758;23.976264353161888;23.976264353161888;6.7262493870787186;20.954133727639928;5263.054094605308;0.0;28.571428571428573;28.571428571428573;935.2151331380592;1311.0738493105587;-375.8587161724995;-3657.0;-0.07763507058698652;43.42463606519307;7.286043853295432;2.4286812844320473;43.866445375035305;-87.14233308877476;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Mantener_posición;Mantener_posición
