Date;Price;Open;High;Low;Vol.;Porcentage_diff;Target;Price_gold;Perc_diff_gold;Price_silver;Perc_diff_silver;Price_copper;Perc_diff_copper;Price_aluminium;Perc_diff_aluminium;Price_platinum;Perc_diff_platinum;Price_palladium;Perc_diff_palladium
2015-11-03;396.5;359.3;416.8;354.6;421990.0;10.36;1.0;1114.1;-1.92;15.256;-1.1;2.3605;0.43;1503.0;0.57;965.85;-1.16;644.0;-0.98
2015-11-04;400.9;396.5;492.8;368.6;517730.0;1.11;1.0;1106.2;-0.71;15.075;-1.19;2.354;-0.28;1505.5;0.17;958.1;-0.8;623.4;-3.2
2015-11-05;382.7;400.9;447.2;366.1;302950.0;-4.54;0.0;1104.2;-0.18;15.001;-0.49;2.2955;-2.49;1510.5;0.33;952.9;-0.54;606.3;-2.74
2015-11-06;369.8;382.7;396.4;348.8;255280.0;-3.37;0.0;1087.7;-1.49;14.709;-1.95;2.29;-0.24;1527.5;1.13;942.35;-1.11;612.95;1.1
2015-11-07;385.1;369.8;391.8;369.0;103030.0;4.13;1.0;1087.7;0.0;14.709;0.0;2.29;0.0;1527.5;0.0;942.35;0.0;612.95;0.0
2015-11-08;371.6;385.1;389.8;365.5;94360.0;-3.51;0.0;1087.7;0.0;14.709;0.0;2.29;0.0;1527.5;0.0;942.35;0.0;612.95;0.0
2015-11-09;380.2;371.6;385.1;360.2;125540.0;2.33;1.0;1088.1;0.04;14.43;-1.9;2.277;-0.57;1517.5;-0.65;917.55;-2.49;596.95;-2.61
2015-11-10;336.7;380.2;381.4;323.2;210290.0;-11.45;0.0;1088.5;0.04;14.372;-0.4;2.258;-0.83;1514.0;-0.23;903.15;-1.57;597.8;0.14
2015-11-11;304.7;336.7;341.8;292.4;263960.0;-9.5;0.0;1084.9;-0.33;14.277;-0.66;2.261;0.13;1524.0;0.66;884.05;-2.11;577.0;-3.48
2015-11-12;333.9;304.7;346.1;306.1;164610.0;9.56;1.0;1081.0;-0.36;14.236;-0.29;2.2225;-1.7;1497.5;-1.74;881.95;-0.24;558.7;-3.17
2015-11-13;333.8;333.9;341.8;323.9;97250.0;-0.02;0.0;1080.9;-0.01;14.212;-0.17;2.216;-0.29;1497.0;-0.03;861.7;-2.3;539.25;-3.48
2015-11-14;331.8;333.8;369.8;326.4;71110.0;-0.6;0.0;1080.9;0.0;14.212;0.0;2.216;0.0;1497.0;0.0;861.7;0.0;539.25;0.0
2015-11-15;317.5;331.8;334.8;314.2;88320.0;-4.32;0.0;1080.9;0.0;14.212;0.0;2.216;0.0;1497.0;0.0;861.7;0.0;539.25;0.0
2015-11-16;330.2;317.5;332.0;314.1;87140.0;4.02;1.0;1083.6;0.25;14.232;-0.93;2.1715;-2.01;1471.0;-1.74;867.85;0.47;551.55;2.28
2015-11-17;333.9;330.2;342.9;328.1;98250.0;1.12;1.0;1068.6;-1.38;14.182;-0.35;2.156;-0.71;1474.0;0.2;854.75;-1.51;546.5;-0.92
2015-11-18;335.9;333.9;337.4;329.4;78360.0;0.6;1.0;1068.7;0.01;14.094;-0.62;2.1265;-1.37;1472.5;-0.1;852.5;-0.26;532.05;-2.64
2015-11-19;325.0;335.9;335.6;323.4;86380.0;-3.26;0.0;1077.9;0.86;14.234;0.99;2.128;0.07;1466.5;-0.41;858.25;0.67;541.0;1.68
2015-11-20;321.1;325.0;327.1;309.5;109990.0;-1.19;0.0;1076.3;-0.15;14.106;-0.9;2.1005;-1.29;1447.5;-1.3;855.4;-0.33;558.9;3.31
2015-11-21;324.7;321.1;328.4;318.4;45000.0;1.11;1.0;1076.3;0.0;14.106;0.0;2.1005;0.0;1447.5;0.0;855.4;0.0;558.9;0.0
2015-11-22;322.8;324.7;326.9;319.4;36750.0;-0.59;0.0;1076.3;0.0;14.106;0.0;2.1005;0.0;1447.5;0.0;855.4;0.0;558.9;0.0
2015-11-23;322.1;322.8;325.0;319.9;42730.0;-0.2;0.0;1066.8;-0.88;14.041;-0.59;2.0675;-1.57;1435.75;-0.81;849.4;-0.89;541.35;-3.14
2015-11-24;318.4;322.1;323.3;315.5;50660.0;-1.17;0.0;1073.8;0.66;14.168;0.9;2.1175;2.42;1445.75;0.7;842.75;-0.78;541.5;0.03
2015-11-25;327.5;318.4;330.0;315.7;77680.0;2.88;1.0;1070.0;-0.35;14.157;-0.08;2.096;-1.02;1460.0;0.99;846.2;0.41;551.3;1.81
2015-11-26;353.7;327.5;368.9;327.4;211380.0;8.01;1.0;1070.0;0.0;14.157;0.0;2.096;0.0;1460.0;0.0;846.2;0.0;551.3;0.0
2015-11-27;359.5;353.7;363.9;345.1;103480.0;1.63;1.0;1056.1;-1.37;14.034;-1.38;2.105;0.43;1458.5;-2.9;836.45;-2.14;549.6;-1.17
2015-11-28;355.8;359.5;360.1;350.5;56170.0;-1.03;0.0;1056.1;0.0;14.034;0.0;2.105;0.0;1458.5;0.0;836.45;0.0;549.6;0.0
2015-11-29;370.8;355.8;372.8;354.5;67370.0;4.22;1.0;1056.1;0.0;14.034;0.0;2.105;0.0;1458.5;0.0;836.45;0.0;549.6;0.0
2015-11-30;378.0;370.8;382.6;367.9;129770.0;1.92;1.0;1065.4;0.88;14.072;0.26;2.096;-0.43;1447.0;-0.79;832.2;-0.19;541.95;-1.39
2015-12-01;361.8;378.0;379.0;353.7;111910.0;-4.28;0.0;1063.6;-0.17;14.073;0.01;2.119;1.1;1470.25;1.61;841.6;1.13;538.65;-0.61
2015-12-02;360.0;361.8;363.4;347.2;92450.0;-0.5;0.0;1053.9;-0.91;13.992;-0.58;2.081;-1.79;1487.0;1.14;834.2;-0.88;525.7;-2.4
2015-12-03;360.3;360.0;371.4;355.5;87230.0;0.09;1.0;1061.3;0.7;14.064;0.51;2.108;1.3;1474.5;-0.84;849.95;1.89;535.85;1.93
2015-12-04;361.7;360.3;364.0;354.3;60550.0;0.38;1.0;1084.0;2.14;14.515;3.21;2.127;0.9;1515.0;2.75;880.2;3.56;566.2;5.66
2015-12-05;386.7;361.7;390.3;361.5;115200.0;6.92;1.0;1084.0;0.0;14.515;0.0;2.127;0.0;1515.0;0.0;880.2;0.0;566.2;0.0
2015-12-06;393.4;386.7;402.2;382.6;131860.0;1.73;1.0;1084.0;0.0;14.515;0.0;2.127;0.0;1515.0;0.0;880.2;0.0;566.2;0.0
2015-12-07;394.3;393.4;398.7;381.7;96750.0;0.23;1.0;1075.4;-0.79;14.319;-1.04;2.0965;-1.43;1485.0;-1.98;858.65;-2.14;555.75;-1.85
2015-12-08;410.7;394.3;411.1;388.0;74360.0;4.16;1.0;1075.5;0.01;14.104;-1.5;2.0965;0.0;1477.0;-0.54;851.35;-0.85;548.1;-1.38
2015-12-09;416.0;410.7;424.6;403.3;147360.0;1.3;1.0;1076.8;0.12;14.178;0.52;2.1055;0.43;1490.75;0.93;856.65;0.62;552.55;0.81
2015-12-10;415.5;416.0;420.4;409.5;71660.0;-0.12;0.0;1072.3;-0.42;14.099;-0.56;2.1125;0.33;1491.75;0.07;854.3;-0.27;542.7;-1.78
2015-12-11;449.8;415.5;453.4;413.7;175060.0;8.26;1.0;1076.0;0.35;13.873;-1.6;2.1565;2.08;1483.25;-0.57;841.25;-1.53;545.05;0.43
2015-12-12;432.3;449.8;467.7;403.7;211440.0;-3.9;0.0;1076.0;0.0;13.873;0.0;2.1565;0.0;1483.25;0.0;841.25;0.0;545.05;0.0
2015-12-13;434.7;432.3;441.0;420.8;64140.0;0.56;1.0;1076.0;0.0;13.873;0.0;2.1565;0.0;1483.25;0.0;841.25;0.0;545.05;0.0
